@relation 'features-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5'

@attribute x numeric
@attribute y numeric
@attribute d numeric
@attribute ang numeric
@attribute class numeric

@data
38,82,74,-89,2
39,8,1,90,2
39,9,9,90,2
39,18,1,90,2
39,19,12,90,2
39,31,1,90,2
39,32,14,90,2
39,46,28,90,2
39,74,1,90,2
39,75,1,90,2
39,76,2,90,2
39,78,69,-89,2
40,9,9,90,2
40,18,11,90,2
40,29,1,90,2
40,30,15,90,2
40,45,25,90,2
40,70,4,90,2
40,74,46,-88,2
41,28,2,90,2
41,30,10,90,2
41,40,5,90,2
41,45,24,90,2
41,69,30,-88,2
42,39,1,90,2
42,40,4,90,2
42,44,1,90,2
42,45,19,90,2
42,64,23,-87,2
43,41,17,90,2
43,58,6,90,2
43,64,1,90,2
43,65,8,-82,2
44,57,1,90,2
44,58,1,90,2
44,59,86,90,2
44,145,1,90,2
44,146,122,-89,2
45,24,11,90,2
45,35,21,90,2
45,56,2,90,2
45,58,88,90,2
45,146,123,-89,2
46,23,17,90,2
46,40,7,90,2
46,47,1,90,2
46,48,7,90,2
46,55,31,-88,2
47,24,16,90,2
47,40,1,90,2
47,41,27,-87,2
48,14,10,90,2
48,24,15,90,2
48,39,15,90,2
48,54,41,-88,2
49,13,10,90,2
49,23,1,90,2
49,24,30,90,2
49,54,1,90,2
49,55,42,-88,2
50,13,1,90,2
50,14,11,90,2
50,25,41,90,2
50,66,53,-88,2
51,13,46,90,2
51,59,1,90,2
51,60,1,0,2
52,60,39,-88,2
53,21,12,90,2
53,33,1,90,2
53,34,13,-85,2
54,21,1,90,2
54,22,12,90,2
54,34,7,90,2
54,41,3,90,2
54,44,1,90,2
54,45,3,90,2
54,48,27,-87,2
55,21,20,90,2
55,41,1,90,2
55,42,2,90,2
55,44,22,90,2
55,66,63,-89,2
56,3,27,90,2
56,30,28,-87,2
57,2,28,90,2
57,30,1,90,2
57,31,8,90,2
57,39,29,90,2
57,68,66,-89,2
58,2,1,90,2
58,3,16,90,2
58,19,44,90,2
58,63,4,90,2
58,67,1,90,2
58,68,65,-89,2
59,3,15,90,2
59,18,1,90,2
59,19,43,90,2
59,62,1,90,2
59,63,6,90,2
59,69,67,-89,2
60,2,17,90,2
60,19,31,90,2
60,50,20,90,2
60,70,52,-88,2
61,18,19,90,2
61,37,13,90,2
61,50,1,90,2
61,51,8,90,2
61,59,1,90,2
61,60,10,90,2
61,70,1,90,2
61,71,34,-88,2
62,37,1,90,2
62,38,9,90,2
62,47,3,90,2
62,50,10,90,2
62,60,23,-87,2
63,37,9,90,2
63,46,1,90,2
63,47,2,90,2
63,49,1,90,2
63,50,10,90,2
63,60,12,-85,2
64,48,2,90,2
64,50,6,90,2
